,coef,local
3,0.029398629148629167,goiania
8,0.02910187307246131,salvador
2,0.028227994227994237,fortaleza
0,0.02577963564213562,belem
10,0.024932178932178906,sao_paulo
5,0.023641676505312865,manaus
6,0.023113247863247845,recife
11,0.022063442870261064,vitoria
4,0.01998937426210144,macapa
1,0.018506938687789763,curitiba
12,0.014191630591630595,global
7,0.009851204351204427,rio
9,0.005935116470830763,sao_luiz
